,ALA,ARG,ASN,ASP,CYS,GLN,GLU,GLY,ILE,LEU,LYS,MET,PHE,PRO,SER,THR,TRP,TYR,VAL,HIS
10gs,2,5,5,3,3,4,3,6,4,7,4,1,2,3,2,3,1,5,6,0
11gs,3,5,5,4,3,4,3,6,5,10,4,1,2,3,2,4,1,5,6,0
1a08,2,5,1,2,2,0,4,3,3,3,4,0,0,0,4,5,0,4,3,3
1a0q,0,2,2,1,1,2,0,4,2,6,2,0,1,1,0,3,2,7,1,1
1a1b,2,5,1,3,2,0,4,3,3,3,4,0,0,0,4,5,0,4,3,3
1a1c,2,5,1,2,2,0,4,3,3,3,4,0,0,0,4,5,0,4,3,3
1a1e,2,5,1,2,2,0,4,3,3,4,4,0,0,0,4,5,0,4,3,3
1a30,2,2,2,3,0,0,2,7,6,6,3,1,1,3,0,4,0,0,5,0
1a42,3,3,5,2,1,4,4,7,3,9,2,1,7,3,3,3,6,2,5,6
1a4k,1,2,5,1,0,1,1,3,1,0,0,1,2,2,1,5,2,5,3,3
1a4r,3,2,0,6,3,3,2,5,2,6,3,0,3,2,6,6,1,3,9,0
1a4w,4,5,4,6,5,1,5,10,4,7,3,1,3,2,3,3,3,4,4,1
1a69,5,6,0,4,3,2,4,8,7,4,0,5,4,4,5,6,0,2,5,4
1a7x,3,3,0,4,1,1,4,8,4,3,5,2,4,5,3,2,1,3,5,3
1a8i,6,3,10,3,1,1,4,10,3,4,3,1,3,1,4,7,0,5,2,4
1a94,2,2,2,4,0,1,1,6,6,6,2,1,1,4,0,4,1,0,5,0
1a99,7,1,2,4,0,2,2,3,3,2,0,2,5,1,6,2,4,5,5,1
1a9m,2,2,2,3,0,1,1,6,5,7,2,1,1,3,0,4,0,0,5,1
1aaq,2,2,2,3,0,0,1,6,5,6,2,1,1,3,0,3,0,0,3,0
1abf,5,3,3,8,1,4,3,3,3,5,1,3,1,6,4,6,1,0,6,1
1add,7,2,0,6,3,1,3,8,5,9,1,3,3,4,4,3,3,4,4,6
1adl,4,5,2,4,1,2,6,3,6,2,7,4,3,1,6,7,2,2,9,0
1ado,5,4,2,2,0,2,5,3,5,5,3,1,2,2,5,2,0,2,0,1
1af2,10,3,6,2,2,5,5,4,4,4,1,3,5,4,3,5,0,3,3,2
