,ARG,ASN,ASP,GLN,GLY,LEU,LYS,PHE,PRO,SER,TRP,TYR,VAL,CYS,GLU,HIS,ILE,THR,ALA,MET
10gs,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1a1e,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0
1a30,1.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0
1a4k,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1a4r,0.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,3.0,2.0,0.0
1a4w,1.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0
1a69,3.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0
1a8i,0.0,2.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0
1a94,1.0,0.0,3.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0
1a99,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1a9m,1.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0
1aaq,1.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0
1add,1.0,0.0,3.0,0.0,2.0,4.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0
1adl,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0
1ado,2.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
1afk,0.0,3.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0
1afl,0.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0
1ai4,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
1ai5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
1ai7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
1aid,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0
1aj7,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1ajn,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
1ajp,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
