,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
10gs,166.1,-1.85,472.54,33,5,9,7,3,10,14,176,2,2,0,0,0,2,0
184l,0.0,2.89,134.22,10,0,0,0,0,0,4,54,0,1,0,0,0,1,0
185l,15.79,2.17,117.15,9,1,1,0,1,1,0,44,0,2,0,0,1,1,0
186l,0.0,3.03,134.22,10,0,0,0,0,0,4,54,0,1,0,0,0,1,0
187l,0.0,2.3,106.17,8,0,0,0,0,0,2,42,0,1,0,0,0,1,0
188l,0.0,2.3,106.17,8,0,0,0,0,0,2,42,0,1,0,0,0,1,0
1a1e,185.4,0.65,554.56,38,4,12,9,4,13,18,212,3,1,1,1,0,1,1
1a28,34.14,4.72,314.47,23,0,2,2,0,2,4,126,0,0,3,4,0,0,0
1a30,206.23,-5.97,373.36,26,5,11,8,3,11,15,148,2,0,0,0,0,0,0
1a4k,144.94,0.17,428.42,31,2,10,7,2,10,6,164,4,1,4,4,0,1,1
1a4r,258.36,-2.49,442.22,28,9,16,14,7,18,12,156,0,2,1,1,2,0,1
1a4w,165.69,1.19,614.82,42,6,11,7,4,13,15,226,1,3,1,1,1,2,1
1a69,144.35,-2.2,268.23,19,5,9,7,5,9,5,102,0,2,1,1,2,0,1
1a8i,148.35,-4.0,248.19,17,6,9,7,6,9,5,96,3,0,2,2,0,0,2
1a94,351.47,-5.19,847.05,60,16,20,9,11,20,35,336,7,1,0,0,0,1,0
1a99,55.28,-1.75,90.17,6,6,2,0,2,2,5,38,0,0,0,0,0,0,0
1a9m,259.72,-2.66,597.78,42,13,14,6,9,14,23,240,5,0,1,1,0,0,0
1a9q,74.43,-0.35,136.11,10,2,5,3,2,5,0,50,0,2,0,0,2,0,0
1aaq,190.57,-0.56,578.73,41,8,12,7,6,12,25,230,4,1,0,0,0,1,0
1add,126.65,-1.38,266.26,19,5,8,8,4,8,6,102,0,2,1,1,2,0,1
1adl,40.13,4.88,303.47,22,0,2,2,0,2,15,124,0,0,0,0,0,0,0
1ado,104.06,-1.34,170.06,10,3,6,6,3,7,7,60,0,0,0,0,0,0,0
1afk,279.13,-1.63,507.18,31,8,18,18,7,21,15,174,0,2,1,1,2,0,1
1afl,279.13,-1.63,507.18,31,8,18,18,7,21,15,174,0,2,1,1,2,0,1
1ai4,80.59,-0.61,167.14,12,2,4,4,2,4,4,64,0,1,0,0,0,1,0
1ai5,83.27,-0.11,180.14,13,0,5,4,0,5,3,68,0,1,0,0,0,1,0
1ai7,20.23,1.39,94.11,7,1,1,1,1,1,1,36,0,1,0,0,0,1,0
1aid,24.67,4.46,453.07,29,2,2,3,2,6,7,156,0,2,2,2,0,2,2
1aj7,129.8,1.08,302.2,20,1,8,7,1,9,9,110,0,1,0,0,0,1,0
